practice_group,practice,region,office,city,state,final_url,displayed_phone,kw_test_url
"employment","Employment Law","Los Angeles","Torrance","Carson","CA","https://results.wilshirelawfirm.com/employment-lawyer/carson/","(310) 307-3316","https://results.wilshirelawfirm.com/employment-lawyer/carson/?kw={keyword}"
"employment","Employment Law","Los Angeles","Torrance","Gardena","CA","https://results.wilshirelawfirm.com/employment-lawyer/gardena/","(310) 307-3316","https://results.wilshirelawfirm.com/employment-lawyer/gardena/?kw={keyword}"
"employment","Employment Law","Los Angeles","Torrance","Redondo Beach","CA","https://results.wilshirelawfirm.com/employment-lawyer/redondo-beach/","(310) 307-3316","https://results.wilshirelawfirm.com/employment-lawyer/redondo-beach/?kw={keyword}"
"employment","Employment Law","Los Angeles","Torrance","Hawthorne","CA","https://results.wilshirelawfirm.com/employment-lawyer/hawthorne/","(310) 307-3316","https://results.wilshirelawfirm.com/employment-lawyer/hawthorne/?kw={keyword}"
"employment","Employment Law","Los Angeles","Torrance","San Pedro","CA","https://results.wilshirelawfirm.com/employment-lawyer/san-pedro/","(310) 307-3316","https://results.wilshirelawfirm.com/employment-lawyer/san-pedro/?kw={keyword}"
"employment","Employment Law","Los Angeles","Long Beach (office)","Long Beach","CA","https://results.wilshirelawfirm.com/employment-lawyer/long-beach/","(800) 522-7274","https://results.wilshirelawfirm.com/employment-lawyer/long-beach/?kw={keyword}"
"employment","Employment Law","Los Angeles","Long Beach","Lakewood","CA","https://results.wilshirelawfirm.com/employment-lawyer/lakewood/","(800) 522-7274","https://results.wilshirelawfirm.com/employment-lawyer/lakewood/?kw={keyword}"
"employment","Employment Law","Los Angeles","Long Beach","Downey","CA","https://results.wilshirelawfirm.com/employment-lawyer/downey/","(800) 522-7274","https://results.wilshirelawfirm.com/employment-lawyer/downey/?kw={keyword}"
"employment","Employment Law","Los Angeles","Long Beach","Norwalk","CA","https://results.wilshirelawfirm.com/employment-lawyer/norwalk/","(800) 522-7274","https://results.wilshirelawfirm.com/employment-lawyer/norwalk/?kw={keyword}"
"employment","Employment Law","Los Angeles","Long Beach","Bellflower","CA","https://results.wilshirelawfirm.com/employment-lawyer/bellflower/","(800) 522-7274","https://results.wilshirelawfirm.com/employment-lawyer/bellflower/?kw={keyword}"
"employment","Employment Law","Los Angeles","Palmdale (office)","Palmdale","CA","https://results.wilshirelawfirm.com/employment-lawyer/palmdale/","(800) 891-1876","https://results.wilshirelawfirm.com/employment-lawyer/palmdale/?kw={keyword}"
"employment","Employment Law","Los Angeles","Palmdale","Santa Clarita","CA","https://results.wilshirelawfirm.com/employment-lawyer/santa-clarita/","(800) 891-1876","https://results.wilshirelawfirm.com/employment-lawyer/santa-clarita/?kw={keyword}"
"employment","Employment Law","Los Angeles","Palmdale","Victorville","CA","https://results.wilshirelawfirm.com/employment-lawyer/victorville/","(800) 891-1876","https://results.wilshirelawfirm.com/employment-lawyer/victorville/?kw={keyword}"
"employment","Employment Law","Los Angeles","Lancaster (office)","Lancaster","CA","https://results.wilshirelawfirm.com/employment-lawyer/lancaster/","(800) 891-1876","https://results.wilshirelawfirm.com/employment-lawyer/lancaster/?kw={keyword}"
"employment","Employment Law","Los Angeles","Lancaster","Antelope Valley","CA","https://results.wilshirelawfirm.com/employment-lawyer/antelope-valley/","(800) 891-1876","https://results.wilshirelawfirm.com/employment-lawyer/antelope-valley/?kw={keyword}"
"employment","Employment Law","Orange County","Irvine (office)","Irvine","CA","https://results.wilshirelawfirm.com/employment-lawyer/irvine/","(949) 591-8266","https://results.wilshirelawfirm.com/employment-lawyer/irvine/?kw={keyword}"
"employment","Employment Law","Orange County","Irvine","Santa Ana","CA","https://results.wilshirelawfirm.com/employment-lawyer/santa-ana/","(949) 591-8266","https://results.wilshirelawfirm.com/employment-lawyer/santa-ana/?kw={keyword}"
"employment","Employment Law","Orange County","Irvine","Huntington Beach","CA","https://results.wilshirelawfirm.com/employment-lawyer/huntington-beach/","(949) 591-8266","https://results.wilshirelawfirm.com/employment-lawyer/huntington-beach/?kw={keyword}"
"employment","Employment Law","Orange County","Irvine","Costa Mesa","CA","https://results.wilshirelawfirm.com/employment-lawyer/costa-mesa/","(949) 591-8266","https://results.wilshirelawfirm.com/employment-lawyer/costa-mesa/?kw={keyword}"
"employment","Employment Law","Orange County","Irvine","Newport Beach","CA","https://results.wilshirelawfirm.com/employment-lawyer/newport-beach/","(949) 591-8266","https://results.wilshirelawfirm.com/employment-lawyer/newport-beach/?kw={keyword}"
"employment","Employment Law","Orange County","Irvine","Mission Viejo","CA","https://results.wilshirelawfirm.com/employment-lawyer/mission-viejo/","(949) 591-8266","https://results.wilshirelawfirm.com/employment-lawyer/mission-viejo/?kw={keyword}"
"employment","Employment Law","Orange County","Irvine","Lake Forest","CA","https://results.wilshirelawfirm.com/employment-lawyer/lake-forest/","(949) 591-8266","https://results.wilshirelawfirm.com/employment-lawyer/lake-forest/?kw={keyword}"
"employment","Employment Law","Orange County","Irvine","Tustin","CA","https://results.wilshirelawfirm.com/employment-lawyer/tustin/","(949) 591-8266","https://results.wilshirelawfirm.com/employment-lawyer/tustin/?kw={keyword}"
"employment","Employment Law","Orange County","Orange (office)","Orange","CA","https://results.wilshirelawfirm.com/employment-lawyer/orange/","(714) 386-1747","https://results.wilshirelawfirm.com/employment-lawyer/orange/?kw={keyword}"
"employment","Employment Law","Orange County","Orange","Anaheim","CA","https://results.wilshirelawfirm.com/employment-lawyer/anaheim/","(714) 386-1747","https://results.wilshirelawfirm.com/employment-lawyer/anaheim/?kw={keyword}"
"employment","Employment Law","Orange County","Orange","Garden Grove","CA","https://results.wilshirelawfirm.com/employment-lawyer/garden-grove/","(714) 386-1747","https://results.wilshirelawfirm.com/employment-lawyer/garden-grove/?kw={keyword}"
"employment","Employment Law","Orange County","Orange","Fullerton","CA","https://results.wilshirelawfirm.com/employment-lawyer/fullerton/","(714) 386-1747","https://results.wilshirelawfirm.com/employment-lawyer/fullerton/?kw={keyword}"
"employment","Employment Law","Orange County","Orange","Westminster","CA","https://results.wilshirelawfirm.com/employment-lawyer/westminster/","(714) 386-1747","https://results.wilshirelawfirm.com/employment-lawyer/westminster/?kw={keyword}"
"employment","Employment Law","Inland Empire","Riverside (office)","Riverside","CA","https://results.wilshirelawfirm.com/employment-lawyer/riverside/","(951) 557-6087","https://results.wilshirelawfirm.com/employment-lawyer/riverside/?kw={keyword}"
"employment","Employment Law","Inland Empire","Riverside","Moreno Valley","CA","https://results.wilshirelawfirm.com/employment-lawyer/moreno-valley/","(951) 557-6087","https://results.wilshirelawfirm.com/employment-lawyer/moreno-valley/?kw={keyword}"
"employment","Employment Law","Inland Empire","Riverside","Corona","CA","https://results.wilshirelawfirm.com/employment-lawyer/corona/","(951) 557-6087","https://results.wilshirelawfirm.com/employment-lawyer/corona/?kw={keyword}"
"employment","Employment Law","Inland Empire","Riverside","Temecula","CA","https://results.wilshirelawfirm.com/employment-lawyer/temecula/","(951) 557-6087","https://results.wilshirelawfirm.com/employment-lawyer/temecula/?kw={keyword}"
"employment","Employment Law","Inland Empire","Riverside","Murrieta","CA","https://results.wilshirelawfirm.com/employment-lawyer/murrieta/","(951) 557-6087","https://results.wilshirelawfirm.com/employment-lawyer/murrieta/?kw={keyword}"
"employment","Employment Law","Inland Empire","Riverside","Hemet","CA","https://results.wilshirelawfirm.com/employment-lawyer/hemet/","(951) 557-6087","https://results.wilshirelawfirm.com/employment-lawyer/hemet/?kw={keyword}"
"employment","Employment Law","Inland Empire","Ontario (office)","Ontario","CA","https://results.wilshirelawfirm.com/employment-lawyer/ontario/","(800) 522-7274","https://results.wilshirelawfirm.com/employment-lawyer/ontario/?kw={keyword}"
"employment","Employment Law","Inland Empire","Ontario","San Bernardino","CA","https://results.wilshirelawfirm.com/employment-lawyer/san-bernardino/","(800) 522-7274","https://results.wilshirelawfirm.com/employment-lawyer/san-bernardino/?kw={keyword}"
"employment","Employment Law","Inland Empire","Ontario","Fontana","CA","https://results.wilshirelawfirm.com/employment-lawyer/fontana/","(800) 522-7274","https://results.wilshirelawfirm.com/employment-lawyer/fontana/?kw={keyword}"
"employment","Employment Law","Inland Empire","Ontario","Rancho Cucamonga","CA","https://results.wilshirelawfirm.com/employment-lawyer/rancho-cucamonga/","(800) 522-7274","https://results.wilshirelawfirm.com/employment-lawyer/rancho-cucamonga/?kw={keyword}"
"employment","Employment Law","Inland Empire","Ontario","Pomona","CA","https://results.wilshirelawfirm.com/employment-lawyer/pomona/","(800) 522-7274","https://results.wilshirelawfirm.com/employment-lawyer/pomona/?kw={keyword}"
"employment","Employment Law","Inland Empire","Ontario","Chino","CA","https://results.wilshirelawfirm.com/employment-lawyer/chino/","(800) 522-7274","https://results.wilshirelawfirm.com/employment-lawyer/chino/?kw={keyword}"
"employment","Employment Law","Inland Empire","Ontario","Rialto","CA","https://results.wilshirelawfirm.com/employment-lawyer/rialto/","(800) 522-7274","https://results.wilshirelawfirm.com/employment-lawyer/rialto/?kw={keyword}"
"employment","Employment Law","San Diego","San Diego (office)","San Diego","CA","https://results.wilshirelawfirm.com/employment-lawyer/san-diego/","(619) 257-2818","https://results.wilshirelawfirm.com/employment-lawyer/san-diego/?kw={keyword}"
"employment","Employment Law","San Diego","San Diego","Chula Vista","CA","https://results.wilshirelawfirm.com/employment-lawyer/chula-vista/","(619) 257-2818","https://results.wilshirelawfirm.com/employment-lawyer/chula-vista/?kw={keyword}"
"employment","Employment Law","San Diego","San Diego","Oceanside","CA","https://results.wilshirelawfirm.com/employment-lawyer/oceanside/","(619) 257-2818","https://results.wilshirelawfirm.com/employment-lawyer/oceanside/?kw={keyword}"
"employment","Employment Law","San Diego","San Diego","Escondido","CA","https://results.wilshirelawfirm.com/employment-lawyer/escondido/","(619) 257-2818","https://results.wilshirelawfirm.com/employment-lawyer/escondido/?kw={keyword}"
"employment","Employment Law","San Diego","San Diego","El Cajon","CA","https://results.wilshirelawfirm.com/employment-lawyer/el-cajon/","(619) 257-2818","https://results.wilshirelawfirm.com/employment-lawyer/el-cajon/?kw={keyword}"
"employment","Employment Law","San Diego","San Diego","Carlsbad","CA","https://results.wilshirelawfirm.com/employment-lawyer/carlsbad/","(619) 257-2818","https://results.wilshirelawfirm.com/employment-lawyer/carlsbad/?kw={keyword}"
"employment","Employment Law","San Diego","San Diego","National City","CA","https://results.wilshirelawfirm.com/employment-lawyer/national-city/","(619) 257-2818","https://results.wilshirelawfirm.com/employment-lawyer/national-city/?kw={keyword}"
"employment","Employment Law","Central Valley","Bakersfield (office)","Bakersfield","CA","https://results.wilshirelawfirm.com/employment-lawyer/bakersfield/","(800) 522-7274","https://results.wilshirelawfirm.com/employment-lawyer/bakersfield/?kw={keyword}"
"employment","Employment Law","Central Valley","Bakersfield","Delano","CA","https://results.wilshirelawfirm.com/employment-lawyer/delano/","(800) 522-7274","https://results.wilshirelawfirm.com/employment-lawyer/delano/?kw={keyword}"
"employment","Employment Law","Central Valley","Fresno (office)","Fresno","CA","https://results.wilshirelawfirm.com/employment-lawyer/fresno/","(800) 522-7274","https://results.wilshirelawfirm.com/employment-lawyer/fresno/?kw={keyword}"
"employment","Employment Law","Central Valley","Fresno","Clovis","CA","https://results.wilshirelawfirm.com/employment-lawyer/clovis/","(800) 522-7274","https://results.wilshirelawfirm.com/employment-lawyer/clovis/?kw={keyword}"
"employment","Employment Law","Central Valley","Fresno","Visalia","CA","https://results.wilshirelawfirm.com/employment-lawyer/visalia/","(800) 522-7274","https://results.wilshirelawfirm.com/employment-lawyer/visalia/?kw={keyword}"
"employment","Employment Law","Central Valley","Fresno","Madera","CA","https://results.wilshirelawfirm.com/employment-lawyer/madera/","(800) 522-7274","https://results.wilshirelawfirm.com/employment-lawyer/madera/?kw={keyword}"
"employment","Employment Law","Central Valley","Modesto (office)","Modesto","CA","https://results.wilshirelawfirm.com/employment-lawyer/modesto/","(800) 522-7274","https://results.wilshirelawfirm.com/employment-lawyer/modesto/?kw={keyword}"
"employment","Employment Law","Central Valley","Modesto","Stockton","CA","https://results.wilshirelawfirm.com/employment-lawyer/stockton/","(800) 522-7274","https://results.wilshirelawfirm.com/employment-lawyer/stockton/?kw={keyword}"
"employment","Employment Law","Central Valley","Modesto","Turlock","CA","https://results.wilshirelawfirm.com/employment-lawyer/turlock/","(800) 522-7274","https://results.wilshirelawfirm.com/employment-lawyer/turlock/?kw={keyword}"
"employment","Employment Law","Central Valley","Modesto","Merced","CA","https://results.wilshirelawfirm.com/employment-lawyer/merced/","(800) 522-7274","https://results.wilshirelawfirm.com/employment-lawyer/merced/?kw={keyword}"
"employment","Employment Law","Sacramento & Northern California","Sacramento (office)","Sacramento","CA","https://results.wilshirelawfirm.com/employment-lawyer/sacramento/","(916) 957-0598","https://results.wilshirelawfirm.com/employment-lawyer/sacramento/?kw={keyword}"
"employment","Employment Law","Sacramento & Northern California","Sacramento","Elk Grove","CA","https://results.wilshirelawfirm.com/employment-lawyer/elk-grove/","(916) 957-0598","https://results.wilshirelawfirm.com/employment-lawyer/elk-grove/?kw={keyword}"
"employment","Employment Law","Sacramento & Northern California","Sacramento","Roseville","CA","https://results.wilshirelawfirm.com/employment-lawyer/roseville/","(916) 957-0598","https://results.wilshirelawfirm.com/employment-lawyer/roseville/?kw={keyword}"
"employment","Employment Law","Sacramento & Northern California","Sacramento","Folsom","CA","https://results.wilshirelawfirm.com/employment-lawyer/folsom/","(916) 957-0598","https://results.wilshirelawfirm.com/employment-lawyer/folsom/?kw={keyword}"
"employment","Employment Law","Bay Area","Oakland (office)","Oakland","CA","https://results.wilshirelawfirm.com/employment-lawyer/oakland/","(510) 391-4877","https://results.wilshirelawfirm.com/employment-lawyer/oakland/?kw={keyword}"
"employment","Employment Law","Bay Area","Oakland","Berkeley","CA","https://results.wilshirelawfirm.com/employment-lawyer/berkeley/","(510) 391-4877","https://results.wilshirelawfirm.com/employment-lawyer/berkeley/?kw={keyword}"
"employment","Employment Law","Bay Area","Oakland","Hayward","CA","https://results.wilshirelawfirm.com/employment-lawyer/hayward/","(510) 391-4877","https://results.wilshirelawfirm.com/employment-lawyer/hayward/?kw={keyword}"
"employment","Employment Law","Bay Area","Oakland","Fremont","CA","https://results.wilshirelawfirm.com/employment-lawyer/fremont/","(510) 391-4877","https://results.wilshirelawfirm.com/employment-lawyer/fremont/?kw={keyword}"
"employment","Employment Law","Bay Area","Oakland","Richmond","CA","https://results.wilshirelawfirm.com/employment-lawyer/richmond/","(510) 391-4877","https://results.wilshirelawfirm.com/employment-lawyer/richmond/?kw={keyword}"
"employment","Employment Law","Bay Area","Oakland","Concord","CA","https://results.wilshirelawfirm.com/employment-lawyer/concord/","(510) 391-4877","https://results.wilshirelawfirm.com/employment-lawyer/concord/?kw={keyword}"
"employment","Employment Law","Bay Area","San Francisco (office)","San Francisco","CA","https://results.wilshirelawfirm.com/employment-lawyer/san-francisco/","(628) 895-2682","https://results.wilshirelawfirm.com/employment-lawyer/san-francisco/?kw={keyword}"
"employment","Employment Law","Bay Area","San Francisco","San Jose","CA","https://results.wilshirelawfirm.com/employment-lawyer/san-jose/","(628) 895-2682","https://results.wilshirelawfirm.com/employment-lawyer/san-jose/?kw={keyword}"
"employment","Employment Law","Bay Area","San Francisco","Daly City","CA","https://results.wilshirelawfirm.com/employment-lawyer/daly-city/","(628) 895-2682","https://results.wilshirelawfirm.com/employment-lawyer/daly-city/?kw={keyword}"
"employment","Employment Law","Bay Area","San Francisco","San Mateo","CA","https://results.wilshirelawfirm.com/employment-lawyer/san-mateo/","(628) 895-2682","https://results.wilshirelawfirm.com/employment-lawyer/san-mateo/?kw={keyword}"
"employment","Employment Law","Ventura & Central Coast","Oxnard (office)","Oxnard","CA","https://results.wilshirelawfirm.com/employment-lawyer/oxnard/","(800) 891-1876","https://results.wilshirelawfirm.com/employment-lawyer/oxnard/?kw={keyword}"
"employment","Employment Law","Ventura & Central Coast","Oxnard","Ventura","CA","https://results.wilshirelawfirm.com/employment-lawyer/ventura/","(800) 891-1876","https://results.wilshirelawfirm.com/employment-lawyer/ventura/?kw={keyword}"
"employment","Employment Law","Ventura & Central Coast","Oxnard","Thousand Oaks","CA","https://results.wilshirelawfirm.com/employment-lawyer/thousand-oaks/","(800) 891-1876","https://results.wilshirelawfirm.com/employment-lawyer/thousand-oaks/?kw={keyword}"
"employment","Employment Law","Ventura & Central Coast","Oxnard","Simi Valley","CA","https://results.wilshirelawfirm.com/employment-lawyer/simi-valley/","(800) 891-1876","https://results.wilshirelawfirm.com/employment-lawyer/simi-valley/?kw={keyword}"
"employment","Employment Law","Ventura & Central Coast","Oxnard","Santa Barbara","CA","https://results.wilshirelawfirm.com/employment-lawyer/santa-barbara/","(800) 891-1876","https://results.wilshirelawfirm.com/employment-lawyer/santa-barbara/?kw={keyword}"
"employment","Wrongful Termination","Statewide","—","California","CA","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/","(800) 522-7274","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/?kw={keyword}"
"employment","Wrongful Termination","Los Angeles","Los Angeles (office)","Los Angeles","CA","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/los-angeles/","(213) 329-7576","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/los-angeles/?kw={keyword}"
"employment","Wrongful Termination","Los Angeles","Los Angeles","Downtown Los Angeles","CA","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/downtown-los-angeles/","(213) 329-7576","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/downtown-los-angeles/?kw={keyword}"
"employment","Wrongful Termination","Los Angeles","Los Angeles","Hollywood","CA","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/hollywood/","(213) 329-7576","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/hollywood/?kw={keyword}"
"employment","Wrongful Termination","Los Angeles","Los Angeles","Glendale","CA","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/glendale/","(213) 329-7576","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/glendale/?kw={keyword}"
"employment","Wrongful Termination","Los Angeles","Los Angeles","Pasadena","CA","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/pasadena/","(213) 329-7576","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/pasadena/?kw={keyword}"
"employment","Wrongful Termination","Los Angeles","Los Angeles","Burbank","CA","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/burbank/","(213) 329-7576","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/burbank/?kw={keyword}"
"employment","Wrongful Termination","Los Angeles","Los Angeles","Santa Monica","CA","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/santa-monica/","(213) 329-7576","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/santa-monica/?kw={keyword}"
"employment","Wrongful Termination","Los Angeles","Los Angeles","Inglewood","CA","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/inglewood/","(213) 329-7576","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/inglewood/?kw={keyword}"
"employment","Wrongful Termination","Los Angeles","Los Angeles","Van Nuys","CA","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/van-nuys/","(213) 329-7576","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/van-nuys/?kw={keyword}"
"employment","Wrongful Termination","Los Angeles","Los Angeles","East Los Angeles","CA","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/east-los-angeles/","(213) 329-7576","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/east-los-angeles/?kw={keyword}"
"employment","Wrongful Termination","Los Angeles","Los Angeles","Koreatown","CA","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/koreatown/","(213) 329-7576","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/koreatown/?kw={keyword}"
"employment","Wrongful Termination","Los Angeles","Los Angeles","Compton","CA","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/compton/","(213) 329-7576","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/compton/?kw={keyword}"
"employment","Wrongful Termination","Los Angeles","Los Angeles","Whittier","CA","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/whittier/","(213) 329-7576","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/whittier/?kw={keyword}"
"employment","Wrongful Termination","Los Angeles","Beverly Hills (office)","Beverly Hills","CA","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/beverly-hills/","(310) 879-1030","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/beverly-hills/?kw={keyword}"
"employment","Wrongful Termination","Los Angeles","Beverly Hills","West Hollywood","CA","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/west-hollywood/","(310) 879-1030","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/west-hollywood/?kw={keyword}"
"employment","Wrongful Termination","Los Angeles","Beverly Hills","Culver City","CA","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/culver-city/","(310) 879-1030","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/culver-city/?kw={keyword}"
"employment","Wrongful Termination","Los Angeles","Beverly Hills","Westwood","CA","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/westwood/","(310) 879-1030","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/westwood/?kw={keyword}"
"employment","Wrongful Termination","Los Angeles","Beverly Hills","Sherman Oaks","CA","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/sherman-oaks/","(310) 879-1030","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/sherman-oaks/?kw={keyword}"
"employment","Wrongful Termination","Los Angeles","Torrance (office)","Torrance","CA","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/torrance/","(310) 307-3316","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/torrance/?kw={keyword}"
"employment","Wrongful Termination","Los Angeles","Torrance","Carson","CA","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/carson/","(310) 307-3316","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/carson/?kw={keyword}"
"employment","Wrongful Termination","Los Angeles","Torrance","Gardena","CA","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/gardena/","(310) 307-3316","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/gardena/?kw={keyword}"
"employment","Wrongful Termination","Los Angeles","Torrance","Redondo Beach","CA","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/redondo-beach/","(310) 307-3316","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/redondo-beach/?kw={keyword}"
"employment","Wrongful Termination","Los Angeles","Torrance","Hawthorne","CA","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/hawthorne/","(310) 307-3316","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/hawthorne/?kw={keyword}"
"employment","Wrongful Termination","Los Angeles","Torrance","San Pedro","CA","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/san-pedro/","(310) 307-3316","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/san-pedro/?kw={keyword}"
"employment","Wrongful Termination","Los Angeles","Long Beach (office)","Long Beach","CA","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/long-beach/","(800) 522-7274","https://results.wilshirelawfirm.com/wrongful-termination-lawyer/long-beach/?kw={keyword}"
